barcode_no,species,county,town,gridref_original,gridref_1km,gridref_10km,flag,latitude_decimal,longitude_decimal,error_radius,date
10883010,Vespula vulgaris,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.357666,-2.973502,1.2,1919-09-17
10883009,Vespula vulgaris,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.357666,-2.973502,1.2,1919-09-18
10882972,Vespula vulgaris,London,S. Kensington,NA,NA,NA,NA,51.494972,-0.18411,1.65,1919-10-16
10882756,Vespula germanica,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1919-08-01
10882754,Vespula germanica,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1919-08-08
10882753,Vespula germanica,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1919-08-01
10882751,Vespula germanica,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1919-07-01
10881335,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.754873,-1.257574,0.49,1919-10-16
10884448,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1920-09-05
10884116,Vespa crabro,Hants.,Beaulieu,NA,NA,NA,NA,50.82,-1.45,1.4,1920-08-21
10883549,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1920-08-29
10883541,Vespula vulgaris,Cumbria,Arnside,NA,NA,NA,NA,54.2038002,-2.832799911,1.5,1920-08-21
10883301,Vespula vulgaris,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.3474,-2.9773,6,1920-04-17
10883295,Vespula vulgaris,W. Yorkshire,Leeds,NA,NA,NA,NA,53.850784,-1.587353,1.58,1920-05-16
10883286,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1920-06-09
10883155,Vespula vulgaris,Norfolk,Runton,NA,NA,NA,NA,52.9385,1.2442,1.2,1920-10-11
10882681,Vespula germanica,Hants.,Beaulieu,NA,NA,NA,NA,50.82,-1.45,1.4,1920-08-28
10882680,Vespula germanica,Hants.,Beaulieu,NA,NA,NA,NA,50.82,-1.45,1.4,1920-08-25
10882679,Vespula germanica,Hants.,Beaulieu,NA,NA,NA,NA,50.82,-1.45,1.4,1920-08-26
10882581,Vespula germanica,Hants.,Beaulieu,NA,NA,NA,NA,50.82,-1.45,1.4,1920-08-28
10881457,Vespula germanica,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1920-06-15
10881456,Vespula germanica,W. Yorkshire,Roundhay,NA,NA,NA,NA,53.83100128,-1.496999979,0.89999997,1920-06-15
10881336,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.750968,-1.245674,0.06,1920-11-01
10884453,Vespula vulgaris,Cumbria,Grange-over-Sands,NA,NA,NA,NA,54.191,-2.9107,2.2,1921-07-31
10884385,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884384,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884356,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884171,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884144,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884137,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884136,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884133,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884132,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884125,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884121,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884108,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884081,Vespa crabro,Somerset,Weston-super-Mare,NA,NA,NA,NA,51.3474,-2.9773,6,1921-10-09
10884080,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884047,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884046,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884045,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884044,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884043,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
10884039,Vespa crabro,Suffolk,Little Cornard,NA,NA,NA,NA,52.0179,0.7687,0.9,1921-09-01
